"filename","solvent_name","cas","chemical_class","price_usd_per_kg","price_confidence","gwp_kg_co2e_per_kg","htc_ctuh_per_kg","htnc_ctuh_per_kg","etox_ctue_per_kg","lca_confidence","lca_source"
"1,1-dichloroacetone","1,1-Dichloroacetone","513-88-2","chlorinated ketone","","low","5.0","","","","very low","Estimated: chlorinated ketone production; high energy chlorination + acetone. not available"
"1,2-dimethoxyethane","1,2-Dimethoxyethane","110-71-4","Linear ether (glycol ether), formula CH₃OCH₂CH₂OCH₃","3.65","low-medium","2.5","","","","low","DME/glyme from ethylene glycol + methanol; moderate energy process. No published LCA data found for this solvent despite industrial significance"
"1,2-dimethylbenzene","o-Xylene (1,2-Dimethylbenzene)","95-47-6","Aromatic hydrocarbon (monocyclic aromatic)","0.84","medium-high","3.3","","","","low-medium","Mixed xylenes data from peer-reviewed LCA literature. Specific o-xylene data would require ecoinvent v3.10+ database access (Plastics Europe industry data for European conditions). Production via petr"
"1,3-dichloro-2-propanol","1,3-Dichloro-2-propanol","96-23-1","chlorinated alcohol","","low","4.5","","","","very low","Estimated: chlorohydrin from allyl chloride + water. not available"
"1,4-dimethylbenzene","p-Xylene (1,4-Dimethylbenzene)","106-42-3","Aromatic hydrocarbon, monocyclic aromatic","1.06","medium","2.25","","","","low-medium","Literature indicates energy and GHG emissions for platform hydrocarbons including xylenes range from 37 MJ/kg and 0.4 kg CO₂-e/kg (small molecules like methanol) to 128 MJ/kg and 2.3 kg CO₂-e/kg for l"
"1-(1,1-dimethylethoxy)-2-propanol","1-(1,1-Dimethylethoxy)-2-propanol","57018-52-7","Propylene glycol ether (P-series glycol ether)","1.325","medium","5.0","","","","low","Estimated from related propylene glycol and propylene-based chemical production data; specific ecoinvent dataset for PTB not identified in v3.10"
"1-(1-methyl-2-propoxyethoxy)-2-propanol","1-(1-Methyl-2-propoxyethoxy)-2-propanol","29911-27-1","Glycol ether","1.92","high","5.5","","","50.0","medium","Estimated: complex glycol ether; higher molecular weight and multi-step synthesis. Ecoinvent 3.8-3.11 includes production datasets for dipropylene glycol monomethyl ether (similar compound). Specific GWP data requires database access. Environmental fate studies show ready biodegrada"
"1-butanol-3-methylpropanoate","Isobutyl Butyrate (1-butanol-3-methylpropanoate)","539-90-2","Butyrate ester","","low","2.5","","","400.0","low","Isobutyl butyrate: estimated from butyric acid + isobutanol esterification. No comprehensive LCA study identified. Estimated GWP likely in range 1.5-3.0 kg CO₂-eq/kg based on similar ester production (acetic acid 1.2 kg CO₂-eq/kg, butanol ~2-3 kg CO₂-eq/kg)"
"1-butanol","1-Butanol","71-36-3","Primary alcohol (C4H9OH)","0.865","medium","3.0","","","","low-medium","Ecoinvent 3.x contains butanol production datasets. GREET model has been used for biobutanol LCA studies. Specific petrochemical 1-butanol cradle-to-gate GWP values require direct database access."
"1-butene","1-Butene","106-98-9","Linear alpha-olefin (terminal alkene, C4H8)","1.02","medium-high","2.25","","","","low","Ecoinvent contains olefin production datasets. General olefin production literature indicates gas-based feedstock (0.98 tCO2-eq/ton) vs. liquid-based (2.01 tCO2-eq/ton). Specific 1-butene values requi"
"1-butoxy-2-propanol","1-Butoxy-2-propanol","5131-66-8","Propylene glycol ether (P-series glycol ether)","1.325","medium","5.0","","","100.0","low","Estimated from propylene glycol production; specific ecoinvent dataset for PNB not identified"
"1-chloro-2-propanol","1-Chloro-2-Propanol","127-00-4","Chlorinated alcohol (halohydrin)","","low","3.75","","","","low","Estimated: propylene oxide + HCl route; simpler chlorohydrin. No published LCA studies identified"
"1-decene","1-Decene","872-05-9","Linear alpha-olefin (terminal alkene, C10H20)","3.25","low","3.0","","","","low","Ecoinvent may contain LAO production datasets. Literature indicates growing focus on bio-based LAO routes with reduced environmental footprint. Specific 1-decene cradle-to-gate values require propriet"
"1-ethoxy-2-propanol-acetate","1-Ethoxy-2-propanol acetate","54839-24-6","Propylene glycol ether acetate (ester derivative of propylene glycol ether)","1.6","low","6.0","","","","low","Estimated from propylene glycol ether production plus acetylation step; specific ecoinvent dataset not identified"
"1-ethoxy-2-propanol","1-Ethoxy-2-propanol","1569-02-4","Propylene glycol ether (P-series glycol ether)","1.325","medium","5.0","","","","low","Estimated from propylene glycol production; specific ecoinvent dataset for PGEE not identified"
"1-heptanol","1-Heptanol","111-70-6","Primary alcohol (C7H16O)","4.0","low","3.3","","","","low","Ecoinvent may contain higher alcohol production datasets. No specific peer-reviewed LCA studies for 1-heptanol found in public literature. Estimation based on analogous alcohol production pathways."
"1-hexanol","1-Hexanol","111-27-3","Primary aliphatic alcohol (C6)","8.5","medium","3.0","","","","low","Estimated from petrochemical alcohol production literature; specific ecoinvent 3.x data for 1-hexanol not publicly available"
"1-hexene","1-Hexene","592-41-6","Linear alpha-olefin (LAO), terminal alkene (C6)","1.64","medium-high","2.0","","","","medium","Estimated from ethylene oligomerization LCA studies; specific ecoinvent 3.x data for 1-hexene not publicly available. Environmental biodegradation data from OECD assessments."
"1-isopropoxy-2-propanol","1-Isopropoxy-2-propanol","3944-36-3","Propylene glycol ether (P-series glycol ether)","2.75","low","2.0","","","","low","Estimated from analogous compounds; specific ecoinvent data not available in public databases"
"1-methoxy-2-propanol","1-Methoxy-2-propanol","107-98-2","Propylene glycol ether (P-series glycol ether)","1.21","medium-high","2.15","","","50.0","medium","Estimated from literature on similar glycol ethers and platform chemicals. Specific ecoinvent v3.x data available but not accessed in this search. PGME is readily biodegradable (96% in 28 days) and ha"
"1-nitropropane","1-Nitropropane","108-03-2","Nitroalkane","10.0","low","5.0","","","","very low","Nitroalkane: energy-intensive nitration of propane; similar to nitromethane production. No cradle-to-gate LCA studies found in publicly available literature; ecoinvent 3.x does not appear to include 1-nitropropane production dataset"
"1-octanol","1-Octanol","111-87-5","Primary fatty alcohol (C8)","2.25","medium","3.65","","","","medium-high","Published LCA studies comparing oleochemical vs. petrochemical fatty alcohol production (ISO 14040/14044); ecoinvent 3.x includes fatty alcohol datasets; USEtox characterization factors require databa"
"1-pentanol","1-Pentanol","71-41-0","Primary alcohol (C5)","","low","3.0","","","","low","Estimated from C5 alcohol production; similar to 1-butanol range. N/A - Specific ecoinvent or USEtox data for 1-pentanol production not available in accessible literature"
"1-phenoxy-2-propanol","1-Phenoxy-2-propanol","770-35-4","Propylene glycol ether (P-series glycol ether, aryl ether)","4.0","low","3.25","","","50.0","low","Estimated from structural analogs and biodegradation data; specific ecoinvent data not available"
"1-propoxy-2-propanol","1-Propoxy-2-propanol","1569-01-3","Propylene glycol ether (P-series glycol ether)","2.5","medium","2.15","","","10.5","medium","Estimated from related propylene glycol ethers. Propylene glycol substances are rapidly and readily biodegradable, with short atmospheric lifetimes (7-11 hours) and low persistence in the environment."
"2,2-dimethyl-1-propanol","2,2-Dimethyl-1-propanol (Neopentyl Alcohol)","75-84-3","Primary alcohol, branched C5","6.5","medium","2.8","","","","low","Neopentyl alcohol from neopentyl glycol; branched C5 alcohol. N/A - No dedicated LCA study or ecoinvent/USEtox data identified for neopentyl alcohol production"
"2,3-dichloro-1-propanol","2,3-Dichloro-1-propanol","616-23-9","Chlorinated alcohol","","low","5.0","","","","low","Estimated: dichlorohydrin; more chlorination steps than monochlorohydrins. N/A - No LCA studies or database entries identified for 2,3-dichloro-1-propanol"
"2,3-dihydropyran","2,3-Dihydropyran (3,4-Dihydro-2H-pyran)","110-87-2","Cyclic ether, heterocycle (unsaturated six-membered C5O ring)","11.75","low","3.0","","","","low","Estimated from acrolein/allyl alcohol cyclization; specialty chemical, limited data. No published LCA data found for this specialty chemical"
"2-(2-methoxyethoxy)ethanol","2-(2-Methoxyethoxy)ethanol","111-77-3","Glycol ether","","low","3.5","","","","low","Estimated from diethylene glycol monomethyl ether production; glycol ether class average. No specific LCA studies identified. General glycol ether class information: classified as federal hazardous air pollutant, can contribute to VOC emissions and secondary pollutant formation (formaldehy"
"2-(2-propoxyethoxy)ethanol","2-(2-Propoxyethoxy)ethanol","6881-94-3","Glycol ether","","low","4.0","","","","low","Estimated from propoxylated glycol ether production; higher MW = higher GWP. No specific LCA studies identified. General context: renewables-based propylene glycol production reduces climate change impact by 40-60% vs. petrochemical routes. Glycol ethers are federal hazardous "
