Paper,Metric_Category,Specific_Metric,Value,Unit,Notes,System_Boundary,Functional_Unit,Impact_Category,Allocation_Method,Energy_Scenario,Reference_Location
Quantifying environmental benefits (2020),GWP,STRAP Process C1,1.7,kg CO2-eq/kg polymer,Grid average electricity + natural gas heat,Cradle-to-gate,1 kg recycled polymer,Climate Change,Economic allocation,C1 - Grid avg electricity + NG heat,Figure 3
Quantifying environmental benefits (2020),GWP,STRAP Process C2,1.2,kg CO2-eq/kg polymer,Natural gas for all energy,Cradle-to-gate,1 kg recycled polymer,Climate Change,Economic allocation,C2 - All natural gas,Figure 3
Quantifying environmental benefits (2020),GWP,STRAP Process C3,0.4,kg CO2-eq/kg polymer,Renewable electricity + natural gas heat,Cradle-to-gate,1 kg recycled polymer,Climate Change,Economic allocation,C3 - Renewable electricity + NG,Figure 3
Quantifying environmental benefits (2020),GWP,Virgin LDPE production,1.9,kg CO2-eq/kg polymer,Industry average from ecoinvent,Cradle-to-gate,1 kg virgin polymer,Climate Change,N/A,Industry average,Figure 3
Quantifying environmental benefits (2020),GWP,Virgin PET production,2.5,kg CO2-eq/kg polymer,Industry average from ecoinvent,Cradle-to-gate,1 kg virgin polymer,Climate Change,N/A,Industry average,Figure 3
Quantifying environmental benefits (2020),GWP,Virgin EVOH production,3.8,kg CO2-eq/kg polymer,Industry average from ecoinvent,Cradle-to-gate,1 kg virgin polymer,Climate Change,N/A,Industry average,Figure 3
Quantifying environmental benefits (2020),GWP,Mechanical recycling,0.5,kg CO2-eq/kg polymer,Industry average,Cradle-to-gate,1 kg recycled polymer,Climate Change,N/A,Industry average,Figure 3
Quantifying environmental benefits (2020),GWP,Incineration with energy recovery,2.2,kg CO2-eq/kg polymer,With energy credits,Gate-to-grave,1 kg waste polymer,Climate Change,System expansion,Energy recovery credited,Figure 3
Quantifying environmental benefits (2020),GWP,Landfill,0.01,kg CO2-eq/kg polymer,Without biogenic carbon accounting,Gate-to-grave,1 kg waste polymer,Climate Change,N/A,N/A,Figure 3
Quantifying environmental benefits (2020),Energy Breakdown,Heating (dissolution),45,%,Percentage of total STRAP energy,Process-specific,Per process,Energy consumption,N/A,C1 scenario,Section 3.2
Quantifying environmental benefits (2020),Energy Breakdown,Distillation (solvent recovery),35,%,Percentage of total STRAP energy,Process-specific,Per process,Energy consumption,N/A,C1 scenario,Section 3.2
Quantifying environmental benefits (2020),Energy Breakdown,Cooling,12,%,Percentage of total STRAP energy,Process-specific,Per process,Energy consumption,N/A,C1 scenario,Section 3.2
Quantifying environmental benefits (2020),Energy Breakdown,Mechanical (pumps filters),8,%,Percentage of total STRAP energy,Process-specific,Per process,Energy consumption,N/A,C1 scenario,Section 3.2
